1764861306	0	1764861311
1764861311	4	1764861312
1764861312	5	1764861315
1764861315	8	1764861316
1764861316	9	1764861320
1764861320	13	1764861323
1764861323	15	1764861327
1764861327	18	1764861329
1764861329	19	1764861330
1764861330	20	1764861382
1764861382	18	1764861383
1764861383	17	1764861384
1764861384	15	1764861385
1764861385	14	1764861386
1764861386	13	1764861387
1764861387	11	1764861389
1764861389	10	1764861390
1764861390	7	1764861391
1764861391	5	1764861393
1764861393	4	1764861394
1764861394	3	1764861395
1764861395	1	1764861396
