1764863132	0	1764863137
1764863137	4	1764863138
1764863138	5	1764863147
1764863147	9	1764863148
1764863148	10	1764863156
1764863156	12	1764863157
1764863157	13	1764863159
1764863159	14	1764863160
1764863160	15	1764863168
1764863168	18	1764863171
1764863171	19	1764863223
1764863223	17	1764863228
1764863228	16	1764863231
1764863231	13	1764863233
1764863233	11	1764863234
1764863234	8	1764863236
1764863236	7	1764863237
1764863237	6	1764863238
1764863238	5	1764863239
1764863239	3	1764863241
1764863241	1	1764863243
