1764860895	0	1764860899
1764860899	4	1764860901
1764860901	5	1764860903
1764860903	7	1764860904
1764860904	8	1764860905
1764860905	9	1764860906
1764860906	11	1764860912
1764860912	13	1764860916
1764860916	15	1764860919
1764860919	17	1764860920
1764860920	19	1764860964
1764860964	18	1764860967
1764860967	17	1764860968
1764860968	15	1764860969
1764860969	14	1764860970
1764860970	12	1764860971
1764860971	11	1764860972
1764860972	8	1764860973
1764860973	5	1764860974
1764860974	3	1764860975
1764860975	2	1764860976
1764860976	1	1764860977
